马匹名称,出生地 / 馬齡,毛色 / 性別,進口類別,今季獎金*,總獎金*,冠-亞-季-總出賽次數*,最近十個賽馬日出賽場數,現在位置(到達日期),進口日期,練馬師,馬主,現時評分,季初評分,父系,母系,外祖父,同父系馬,自購馬來港前賽事片段
安遇,愛爾蘭 / 5,棕 / 閹,自購馬,$0,"$13,993,775",7-2-2-27,2,香港(24/09/2024),16/10/2021,賀賢,王賢訊,104,107,Churchill,Enrol,Pivotal,美麗之光安熠夢幻駿駒飛黃駿奕快車喜智駒K262嘉應傳承恒之有道駿彩飛馳華美之威,
安騁,美國 / 4,棗 / 閹,自購馬,"$3,975,000","$11,668,400",4-1-1-9,2,香港(21/03/2024),10/06/2023,蔡約翰,王賢敏,104,85,Lemon Drop Kid,Alluvial Gold,Danehill Dancer,沒有,
氣勢,澳洲 / 4,栗 / 閹,自購新馬,"$4,228,400","$8,012,600",6-2-0-8,2,香港(19/09/2024),08/05/2023,蔡約翰,李國能先生及夫人,98,80,Rich Enuff,Could Be Something,General Nediym,跨境寶馬美麗一定劍無名瑪納霏步大威猛正氣青驅精選威新力驕,
增有,澳洲 / 6,棗 / 閹,自購馬,$0,"$10,571,525",4-3-3-31,2,香港(07/11/2024),13/09/2021,賀賢,曾水達與馬藝,91,95,Street Boss,Kellys Ocean Jewel,Dansili,K174嫡愛好飛來閃耀炯炯有神紅海勁,
球星,澳洲 / 4,棗 / 閹,自購新馬,"$1,041,600","$4,819,200",4-2-5-14,1,香港(22/10/2024),08/05/2023,大衛希斯,香港足球會團體,83,76,Rubick,Emirates Comfort,Dubawi,星河勇士K299光年魅力萬事掂包裝天將新幹線韋金主電訊驕陽,
瑪瑙,澳洲 / 6,棗 / 閹,自購馬,"$232,800","$9,468,800",3-3-1-26,1,從化(13/11/2024),20/12/2021,羅富全,Chong Min Onn,82,85,All Too Hard,Urban Rocker,Fastnet Rock,豬膶燒賣郎中物酷霸王勇敢歡欣魅力寶駒古惑大師大眾快駒快又醒良駒好友K290嘉應光彩譽友駿駒幸運愉快德心知遇魅力知福錶之星河西坎德爾火金鷹生生勝利三劍合璧競駿良駒,
晴王,紐西蘭 / 6,栗 / 閹,自購新馬,"$140,400","$6,294,150",5-1-3-21,1,香港(07/08/2024),22/03/2022,鄭俊偉,吳廷傑,78,78,Frosted,Darci Dancer,Darci Brahma,八勇士多彩多姿龍又生K272K294,
耀寶,澳洲 / 4,棗 / 閹,自購馬,"$3,583,200","$3,583,200",2-0-0-3,2,香港(04/07/2024),18/03/2024,羅富全,許晋亨,77,64,Toronado,Liberty Made,Statue Of Liberty,雄彬飛翔美麗邂逅無限美麗福祐神州勁者友得盈欣感驕陽明駒自己話事利衍天下K224K246超力量駿皇勝鐵金剛魅力星魅力心馬主雄風包裝猛將包裝明駒紅逸舍多巴先生魅力知遇朗日雪峰維港智能,
玩笑,英國 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(24/10/2024),06/07/2024,伍鵬志,游國輝,76,76,Siyouni,Illaunmore,Shamardal,縱橫大進龍城精將,
米奇,愛爾蘭 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(04/08/2024),04/08/2024,蔡約翰,蕭劍平,76,76,Soldier's Call,Parle Moi,Giant's Causeway,沒有,
優才,澳洲 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-1,1,香港(24/06/2024),24/06/2024,葉楚航,梁麟炳,73,73,Real Steel,Northern Model,Northern Meteor,幸運震撼,
將義,紐西蘭 / 4,棗 / 閹,自購馬,"$626,350","$698,100",0-1-1-4,1,香港(02/08/2024),21/03/2024,韋達,七俠五義團體,72,70,U S Navy Flag,Pinstripe,Pins,時時如意康昌之星翠湖烈風江南勇士日頌月讚超勁火力戀愛狂富國兄弟碧海藍天樂勝天下,
十力,愛爾蘭 / 3,栗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(05/10/2024),05/10/2024,伍鵬志,誠信團體,72,72,Justify,Hence,Galileo,風再起時天火同德龍之珍凡凡有餘正將快靚旺假面騎士千里如飛銳義新意馬和平波浪漫戰神難以置信,
馬力,澳洲 / 4,棗 / 閹,自購馬,"$2,541,600","$2,541,600",1-0-0-1,1,香港(18/03/2024),18/03/2024,羅富全,利子厚與利龐卓貽,71,65,Harry Angel,Romneya,Red Ransom,天使之聲宇宙之光金創福威泰泰精神,
祝願,澳洲 / 4,棗 / 閹,自購新馬,"$1,910,700","$2,197,350",2-1-1-5,1,香港(19/12/2023),19/12/2023,廖康銘,車曉紅、唐獻芳與許禮詩,71,54,Flying Artie,Set The Tone,Reset,美麗老撾妙芳華,
豐盛,澳洲 / 4,棗 / 雄,自購馬,"$653,700","$653,700",0-1-0-5,2,香港(15/06/2024),01/03/2024,廖康銘,多多利團體,71,69,National Defense,Choice Words,Choisir,星運遨翔,
快路,愛爾蘭 / 4,棗 / 閹,自購馬,"$374,125","$3,718,325",2-1-0-13,2,從化(11/11/2024),05/11/2022,告東尼,黃永光,70,69,Galileo Gold,Providence,Acclamation,沒有,
飲杯,澳洲 / 4,棗 / 閹,自購新馬,"$1,324,500","$2,225,400",2-1-1-8,1,香港(26/10/2024),07/11/2023,大衛希斯,黃志祥,69,59,Fastnet Rock,My Sabeel,Savabeel,星價領創動力金發盛世多多勇駒發財大師精彩勇士馬達縱橫萬里黑桃火箭駟跑得直線力山,
伊臣,澳洲 / 6,栗 / 閹,自購新馬,"$213,900","$7,505,750",5-3-1-28,1,香港(26/07/2024),14/07/2021,姚本輝,李伊湄,69,69,Written Tycoon,Prete A Partir,Choisir,皆益善佳運財昭易搵金匯昇昇K249嘉應勇士快搏心之靈英雄本色澳嘉輝手錶之星駿馬為伍昇瀧駒好友心得前風環球英雄,
增勁,英國 / 4,栗 / 閹,自購馬,$0,$0,0-0-0-1,1,香港(29/04/2024),14/10/2023,賀賢,曾水達,69,69,Lope de Vega,Suffused,Champs Elysees,悠悠乾坤,
俊才,愛爾蘭 / 3,栗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(06/07/2024),06/07/2024,蘇偉賢,梁麟炳,68,68,Phoenix Of Spain,Alfea,Kentucky Dynamite,祥勝將軍戰騎飛,
銀進,澳洲 / 6,棗 / 閹,自購新馬,"$1,305,950","$5,527,800",4-4-4-31,1,香港(09/11/2024),09/11/2021,方嘉柏,陳永光,67,60,Hinchinbrook,Morinda,Desert King,沒有,
奔放,愛爾蘭 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(21/10/2024),07/09/2024,告東尼,蕭劍瑩,67,67,Muhaarar,Bahjtee,Pivotal,沒有,
堅闖,紐西蘭 / 5,棕 / 閹,自購新馬,"$1,454,400","$2,554,200",2-2-2-13,1,香港(11/04/2024),29/06/2023,伍鵬志,張顯信,66,57,War Decree,Udiditagain,D'Cash,穿甲戰鷹始終如一球皇時時精準綠族光芒荷花之星綠族晴朗,
增強,澳洲 / 4,栗 / 閹,自購新馬,"$1,444,950","$2,205,450",2-2-3-7,1,從化(08/11/2024),28/08/2023,賀賢,曾水達,66,52,Capitalist,Sebrina,Sebring,喆喆友福志滿同行比特星牛精豪情加州本事喜至寶川河首駒志在福星烈火駿馬神舟喜月日馳千里快樂寶寶風火猴王快活英雄K235同得寶奔月騰雲祥發孝寬極光彗星花果猴王同滿滿亮寶四季醒富心星風雲太陽高高洛河太陽昇金牌活力辣得凌厲威德勇士陽光勇士八駿巨昇猛將兄大數據,
快搏,澳洲 / 7,棗 / 閹,自購馬,"$65,100","$4,865,175",3-2-4-37,1,從化(25/10/2024),10/05/2021,賀賢,鍾建書,66,70,Written Tycoon,Best Yet To Come,Econsul,皆益善伊臣佳運財昭易搵金匯昇昇K249嘉應勇士心之靈英雄本色澳嘉輝手錶之星駿馬為伍昇瀧駒好友心得前風環球英雄,
佳登,愛爾蘭 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(18/10/2024),07/09/2024,游達榮,晴朗的心團體,66,66,Kodi Bear,Malilla,Red Clubs,沒有,
福星,澳洲 / 5,棗 / 閹,自購新馬,$0,"$1,769,100",2-0-2-9,0,從化(11/10/2024),07/11/2022,賀賢,鄭永安先生及夫人與鄭寶言,66,66,Star Turn,Madame Bookworm,Publishing,美麗緣分天外迎天K279久久為攻勇霸龍鈁糖武士凱旋升,
赤壁,澳洲 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(15/09/2024),05/08/2024,伍鵬志,梁冠華,66,66,Deep Field,Victory Cry,General Nediym,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
翠紅,澳洲 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(16/09/2024),16/09/2024,廖康銘,紅粉精英團體,65,65,Showtime,Damselle,Domesday,錶之極光喵喵怪競駿非凡,
星價,澳洲 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(15/09/2024),05/08/2024,廖康銘,星星價值團體,65,65,Fastnet Rock,Wedding Veil,Dubawi,飲杯領創動力金發盛世多多勇駒發財大師精彩勇士馬達縱橫萬里黑桃火箭駟跑得直線力山,
安都,澳洲 / 3,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,香港(07/11/2024),11/07/2024,黎昭昇,王忠秣,64,64,Deep Field,Waruna,All Too Hard,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高爆笑遨遊氣泡紅錢到怡昌奇兵優悠俠,
凡喜,澳洲 / 4,棗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(04/09/2024),08/07/2024,伍鵬志,吳永光,64,64,Pride Of Dubai,Defrock,Canny Lad,輕功猛男皇仁福星金鎗武士連連歡呼至尊高超七彩雲珠運高八斗太行美景陽明閃耀觀萬物,
論文,英國 / 5,棗 / 閹,自購馬,$0,"$789,250",0-1-1-9,0,香港(07/12/2023),13/08/2022,徐雨石,魏穎然,64,64,Kingman,Nimble Thimble,Mizzen Mast,陽光燦爛,
明駒,愛爾蘭 / 4,栗 / 閹,自購馬,$0,$0,0-0-0-0,0,從化(25/10/2023),26/08/2023,黎昭昇,22/23 黎昭昇練馬師賽馬團體,63,63,Dawn Approach,My Fere Lady,Mr Greeley,佳福駒樂加福,
旌鷹,英國 / 6,棗 / 閹,自購馬,"$112,750","$3,507,050",3-1-0-27,1,香港(26/10/2024),12/01/2021,姚本輝,鄭俊基,63,67,Helmet,Miramont,Iffraaj,競駿光輝,
初戀,紐西蘭 / 4,棗 / 閹,自購新馬,"$245,700","$941,850",1-1-0-5,1,香港(25/05/2024),25/01/2024,伍鵬志,廖文濠,62,60,Proisir,Pirinitete,Johar,樂矚心機滿好世界兄弟再盈超越夢想J341K274幸運多彩銳一捷足奔馳新力好滿載歸來天德神影,
爵登,澳洲 / 5,棗 / 閹,自購馬,$0,"$4,105,425",1-1-4-18,0,從化(21/06/2024),19/12/2022,蘇偉賢,費志恩,61,61,Not A Single Doubt,Aloona,Smart Strike,無極勇將神煞金剛英雄豪邁風中勁松大利好運天行健都靈勇士,
大才,澳洲 / 7,棗 / 閹,自購馬,$0,"$4,967,350",4-1-5-32,1,香港(12/09/2024),20/09/2021,葉楚航,梁頴頤,61,66,Love Conquers All,Courtship,Danzero,超霸勝,
攻頂,澳洲 / 7,棗 / 閹,自購新馬,$0,"$4,061,675",5-0-3-28,1,從化(30/10/2024),21/09/2020,賀賢,胡瀚文與胡雪明,60,66,Zoustar,Saffie Darling,Catrail,展雄威奔妙星加州動員寰宇豐采利不可擋潮州精神會當凌功名顯赫開心馬健康愉快K250K258K308天下寵兒美神來非凡之星手機錶霸精彩駿將精算激流星際快車連連有盈幸運龍鑽石寶寶競駿輝煌,
翹峯,紐西蘭 / 5,棗 / 閹,自購新馬,$0,"$2,006,550",2-2-1-10,0,香港(16/12/2023),05/06/2023,容天鵬,姚易明與姚吳麗琼,60,60,Swiss Ace,Tessica,Johannesburg,天分高銀河勇士大師爺皇龍飛將歐洲傳奇威力奔騰運來勇士五福星哈羅威欣樂人生滿歡笑忠誠寶寶馬利奧神異金剛勁先生新力霹靂威龍,
同喜,澳洲 / 4,棗 / 閹,自購馬,"$37,200","$37,200",0-0-0-3,2,香港(27/06/2024),12/03/2024,告東尼,同進團體,59,63,Exceed And Excel,Tempt Me Not,Strategic Maneuver,艾莉奧妙玲瓏大將鵰神超旺財得道猴王K237皇帝英明安康萬里神行百變籐王駒博學多財發光發亮手機錶勝,
銀騰,澳洲 / 5,灰 / 閹,自購馬,$0,"$704,550",0-0-3-9,0,從化(26/06/2024),14/08/2023,廖康銘,黃志航與朱淑清,58,58,Caravaggio,Causeway Lass,Giant's Causeway,電路九號百勝威龍以戰常勝都靈福星,
爆熱,法國 / 5,棗 / 閹,自購馬,"$171,750","$723,150",0-0-2-17,3,香港(30/09/2024),08/03/2022,伍鵬志,何猷亨,57,64,Wootton Bassett,Mezzo Mezzo,Mount Nelson,美麗歡聲桃花開,
安泰,英國 / 4,棗 / 閹,自購馬,"$111,150","$1,658,250",1-2-1-19,2,從化(06/11/2024),08/10/2022,蔡約翰,呂珍娣,56,61,Dark Angel,Frankel Light,Frankel,豐盛多彩美麗多盈撼天鐵翼,
真感,澳洲 / 7,棗／棕 / 閹,自購新馬,"$70,200","$4,989,250",6-5-2-40,1,香港(06/07/2024),21/09/2020,黎昭昇,周永健博士及夫人與周霩善,56,57,Epaulette,Melancolia,Hard Spun,綫路高陞合夥奔馳K264幸運遇見開運王巴基之勝紅旺繽紛,
帥炸,紐西蘭 / 4,棗 / 閹,自購新馬,$0,"$900,900",1-0-1-6,1,從化(25/10/2024),08/05/2023,蘇偉賢,王嘉俊,56,56,Belardo,Triaction,Elusive City,肥仔精神K286嘉應巨昇幻影旋風賢者威楓紅運帝王有派頭星雲浩騰,
定數,紐西蘭 / 4,棗 / 閹,自購新馬,$0,"$965,250",1-1-0-7,0,香港(05/06/2023),05/06/2023,丁冠豪,陳汝安,55,55,Satono Aladdin,Gardenier,Rip Van Winkle,超平凡皇帝英豪健而快同寶寶伶俐驫駒,
財駿,澳洲 / 7,棕 / 閹,自購新馬,$0,"$3,977,950",3-5-5-38,1,香港(28/09/2024),09/11/2020,沈集成,才萃團體,54,59,Free Eagle,Coablo,Vettori,沒有,
神馳,澳洲 / 4,棗 / 閹,自購新馬,$0,"$421,200",0-1-1-3,0,香港(08/01/2024),08/01/2024,蔡約翰,榮智健,53,53,Starspangledbanner,Fun In Flight,Fusaichi Pegasus,顯力之城永遠美麗美麗第一金鑽精靈加州星皓加州星球加州星馳綫路英雄衝上雲霄飛鷹翱翔喜蓮勇略紅衫魚K267K280K301歡喜福星大輝煌知恩圖報南莊堡雪勇神駒盈妍威楓紅海風帆囍眼光一定掂閃耀威龍紫荊歡呼都靈星球三代同心手到齊來,
上校,紐西蘭 / 8,棕 / 閹,自購新馬,"$1,333,800","$7,409,340",7-6-7-73,2,從化(06/11/2024),02/08/2019,廖康銘,Syed Pervez Hussain,53,41,Ferlax,Outrageous Fortune,Volksraad,發財先鋒赤馬雄風,
摩界,紐西蘭 / 5,棗 / 閹,自購馬,$0,$0,0-0-0-10,1,香港(24/10/2024),05/06/2023,容天鵬,陳洪偉,53,55,Almanzor,Sussex Dancer,Danehill Dancer,大千超影博愛先鋒光輝歲月K210K285非凡龍駒巧眼光豐辰,
飛雲,紐西蘭 / 5,棗 / 閹,自購新馬,"$380,250","$830,700",0-2-2-9,2,香港(20/06/2024),26/01/2023,方嘉柏,馮柏基,53,51,Charm Spirit,Lucky's Revenge,Darci Brahma,佳運發錢程萬里飛騰騅不可擋東方寶寶天天耍樂上市魅力福國寶歡樂飛駒K141嘉應獎昇愛馬善魯班精神勇冠群英盛勢威楓銀刺勇士智勝攻略不假外求三生福佑友運行,
黑白,澳洲 / 4,棗 / 閹,自購新馬,"$40,950","$807,300",1-0-0-8,1,從化(25/10/2024),26/06/2023,葉楚航,陳穎怡,53,56,Hualalai,Eulogise,Oratorio,沒有,
天星,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(14/10/2024),14/10/2024,大衛希斯,Prem Fathechand Melwani,52,52,Alpine Eagle,Roses In The Glen,Hussonet,沒有,
金將,澳洲 / 3,棗／棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(16/08/2024),12/03/2024,告東尼,陳綺蓮,52,52,Pierro,Is What It Is,Stratum,國大合九尾狐幸運同行逐步贏,
勁者,澳洲 / 4,棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(03/06/2024),03/06/2024,蔡約翰,香港會賽馬團體,52,52,Toronado,Spot On Maggie,One Cool Cat,雄彬飛翔美麗邂逅無限美麗福祐神州友得盈欣感驕陽明駒自己話事利衍天下K224K246超力量駿皇勝鐵金剛魅力星魅力心馬主雄風包裝猛將包裝明駒紅逸舍耀寶多巴先生魅力知遇朗日雪峰維港智能,
球皇,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-2,2,香港(02/11/2024),24/06/2024,大衛希斯,香港足球會團體,52,52,War Decree,Shantaine,Pins,穿甲戰鷹始終如一時時精準堅闖綠族光芒荷花之星綠族晴朗,
安熠,愛爾蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-1,0,香港(14/10/2023),14/10/2023,文家良,王賢敏,52,52,Churchill,Etive,Elusive Quality,美麗之光安遇夢幻駿駒飛黃駿奕快車喜智駒K262嘉應傳承恒之有道駿彩飛馳華美之威,
高感,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(06/08/2024),03/06/2024,黎昭昇,周永健博士與唐慶元,52,52,Cable Bay,Cooper's Girl,Choisir,品德寶寶超勁寶寶,
飈誌,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(06/07/2024),09/05/2024,黎昭昇,鄭嘉濠,52,52,Needs Further,Pleats,Green Desert,劍無情,
迎樂,澳洲 / 5,棕 / 閹,自購新馬,"$46,800","$2,869,800",3-1-2-22,2,從化(08/11/2024),13/09/2022,呂健威,黃永康,52,59,Sooboog,Anadyomene,Northern Meteor,爭金奪冠北地烈馬大千絕塵傑出漢子,
正將,澳洲 / 3,栗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(01/11/2024),22/02/2024,巫偉傑,張舜清,52,52,Justify,Crystal Flute,Encosta de Lago,風再起時天火同德龍之珍凡凡有餘快靚旺假面騎士十力千里如飛銳義新意馬和平波浪漫戰神難以置信,
勁騷,紐西蘭 / 4,棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(11/07/2024),11/07/2024,徐雨石,香港綫路板協會團體,52,52,Redwood,Lazulia,Zabeel,領航天子快步向前一支箭,
閃電,愛爾蘭 / 6,棗 / 閹,自購馬,"$70,200","$6,224,875",4-2-3-41,2,從化(25/10/2024),28/08/2021,沈集成,黃永光,52,60,Acclamation,Pearl Sea,Elusive City,同樣美麗K079富貴駒浪漫勇士星運皇爵,
心福,澳洲 / 4,栗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(11/07/2024),11/07/2024,姚本輝,王振武,52,52,Shooting To Win,O'Angel,Cape Blanco,喜報圍家超加加大千眼界騰龍四海風起雲湧健康心靈風繼續吹健康快車有鴻利綠色好威金榜之星耀昌勝世,
銳義,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(12/11/2024),22/07/2024,沈集成,凌志輝,52,52,Justify,Layton Abbey,High Chaparral,風再起時天火同德龍之珍凡凡有餘正將快靚旺假面騎士十力千里如飛新意馬和平波浪漫戰神難以置信,
鋁神,紐西蘭 / 3,棗／棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(18/10/2024),05/08/2024,蘇偉賢,梁錫安,52,52,Territories,St Gallen,Commands,K282黃腳鱲,
增旺,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(05/09/2024),05/09/2024,賀賢,曾水達,52,52,Ribchester,Midnight Story,Dylan Thomas,香飄萬里嘉力寶喜駿銀星K298同得威,
二索,澳洲 / 3,栗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(04/11/2024),08/01/2024,告東尼,甜詠詩、黃展亮、凌志昌與區結玲,52,52,Zousain,Bulahdelah Miss,Cape Blanco,誘惑眼神K284,
極靈,愛爾蘭 / 3,棗 / 閹,國際拍賣會新馬,$0,$0,0-0-0-0,0,香港(14/09/2024),16/03/2024,容天鵬,林瑞華、龔文佳與黃韻詩,52,52,Australia,Ultra Appeal,Lawman,玫瑰寶,
亮寶,澳洲 / 4,棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(09/09/2024),22/07/2024,羅富全,許晋亨與李嘉欣,52,52,Capitalist,Exclusive Lass,Nicconi,喆喆友福志滿同行比特星牛精豪情加州本事喜至寶川河首駒志在福星烈火駿馬神舟喜月增強日馳千里快樂寶寶風火猴王快活英雄K235同得寶奔月騰雲祥發孝寬極光彗星花果猴王同滿滿四季醒富心星風雲太陽高高洛河太陽昇金牌活力辣得凌厲威德勇士陽光勇士八駿巨昇猛將兄大數據,
拚搏,澳洲 / 3,棗／棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(09/11/2024),08/07/2024,賀賢,鍾建書,52,52,Divine Prophet,Seductive Dream,Captain Sonador,大回報勝多多馬鳳凰漣心星全城帶勝,
家美,紐西蘭 / 3,栗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(10/10/2024),10/10/2024,賀賢,梁鳳輝,52,52,Super Seth,Landslide,More Than Ready,K302錶之宇宙,
豐辰,紐西蘭 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(06/06/2024),06/06/2024,徐雨石,無極限團體,52,52,Almanzor,Holly Holy,Dylan Thomas,摩界大千超影博愛先鋒光輝歲月K210K285非凡龍駒巧眼光,
膨才,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,香港(22/07/2024),22/07/2024,蘇偉賢,梁頴頤,52,52,Spirit Of Boom,Token Of Love,Al Maher,輕鬆大少武林至尊,
千杯,澳洲 / 4,棗／棕 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(30/10/2024),06/05/2024,告東尼,曾金泉、蕭澤宇、黃展亮與陳栢平,52,52,Playing God,Snitzerella,Snitzel,駿擊快車,
爆笑,澳洲 / 5,棕 / 閹,自購馬,"$245,700","$487,500",0-1-0-13,1,香港(27/06/2024),14/08/2023,告東尼,何猷亨,52,58,Deep Field,Divine City,Ferocity,旺旺昇叻魅影獵飛好瑪威威熾烈神駒驍勇者加州得力加州代表加州德至龍之光川河帥駒南區旺電路豪傑電路七號勇者無敵花好月盈瑤瑤日上勇威神駒鑽飾翱翔快樂老撾吉祥寶對衡之星安都隼閣川河型駒威武良駒金玉良言華麗活力逍遙人生千杯敬典火神神樂嫡愛心超級龍珠春風萬里K216K236K263K271K292八駿高昇一石二鳥盛載富祿幸運旅程智智多寶加飯綠族無限貓山王魅力一心包裝伯樂勝萬金綠水青山機械騎士時間寶自強不息深心星揚威四方海綿寶寶川河動駒星光快驅糖不甩飛躍精英真好運旺旺神駒添喜運中華盛景赤壁銳高遨遊氣泡紅錢到怡昌奇兵優悠俠,
著迷,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-0,0,從化(25/10/2024),31/07/2023,方嘉柏,郭富城,52,52,Press Statement,Touchy Greeley,Mr. Greeley,華麗再勝一生好彩金鑽八十萬事得意金多令威威父子競駿先鋒,
獎星,紐西蘭 / 6,栗 / 閹,自購馬,"$403,650","$2,215,750",1-3-5-27,2,香港(07/07/2023),09/08/2022,羅富全,柯詠芝,51,51,Per Incanto,O'Really Baheeya,O'Reilly,有財有勢友瑩仁水晶酒杯天火同心綫路光驊顏色王子完美演繹龍騰飛翔金運來仁仁之寶添開心我為您K219K297幸運芙蓉仁仁有餘心雄雄問鼎巔峰精算暴雪彩虹七色世界籐王威武寶寶陸知質數聯歡兒大浪園田木火同明,
勝意,紐西蘭 / 4,棗 / 閹,自購新馬,"$678,600","$1,170,000",1-1-1-8,2,香港(21/09/2024),19/10/2023,黎昭昇,冼雅恩,51,53,Sweynesse,Petite Midas,Congrats,萬眾開心K289心裡有數金鑽貴人勁爽實力派極速之星,
新力,紐西蘭 / 4,棗 / 閹,自購新馬,"$111,150","$1,910,025",2-0-1-12,1,香港(26/01/2023),26/01/2023,鄭俊偉,張殿濟、張樹仁與張樹德,51,51,Swiss Ace,River Shannon,Mossman,天分高銀河勇士大師爺皇龍飛將歐洲傳奇威力奔騰運來勇士五福星哈羅威欣樂人生滿歡笑忠誠寶寶馬利奧神異金剛勁先生霹靂威龍翹峯,
金主,澳洲 / 4,棗 / 閹,自購新馬,$0,$0,0-0-0-2,1,香港(21/09/2024),22/02/2024,文家良,丁永章、丁同欣與丁同心,50,52,The Autumn Sun,High Lago,High Chaparral,暴風之子喜勝駿駒金風萬里K305首飾天空有誰共鳴隨緣得勝,
彭玥,紐西蘭 / 4,棗 / 閹,自購新馬,"$46,800","$46,800",0-0-0-3,1,香港(09/11/2024),21/03/2024,文家良,彭志兵,50,52,Ardrossan,Squaw,Redwood,活力精神歷險大將進傲星仁心星無敵星卓越蒨鋒贏得爽,
陸知,澳洲 / 6,棗 / 閹,自購新馬,"$134,550","$4,814,850",4-4-2-36,2,從化(11/11/2024),09/08/2021,黎昭昇,陳達華與陳李玉佩,50,56,Per Incanto,Xanadu,Elusive City,有財有勢友瑩仁水晶酒杯天火同心獎星綫路光驊顏色王子完美演繹龍騰飛翔金運來仁仁之寶添開心我為您K219K297幸運芙蓉仁仁有餘心雄雄問鼎巔峰精算暴雪彩虹七色世界籐王威武寶寶質數聯歡兒大浪園田木火同明,
洛河,澳洲 / 3,棗 / 閹,自購新馬,$0,$0,0-0-0-1,0,香港(18/05/2024),08/01/2024,丁冠豪,林振邦,50,50,Capitalist,Mountain Laurel,Starcraft,喆喆友福志滿同行比特星牛精豪情加州本事喜至寶川河首駒志在福星烈火駿馬神舟喜月增強日馳千里快樂寶寶風火猴王快活英雄K235同得寶奔月騰雲祥發孝寬極光彗星花果猴王同滿滿亮寶四季醒富心星風雲太陽高高太陽昇金牌活力辣得凌厲威德勇士陽光勇士八駿巨昇猛將兄大數據,
